mae,rmse,bias,r2,n,target,split,lead,model,stratum
0.8577934503555298,1.1473861932754517,0.0051109218038618565,-5.193190097808838,15401652,swh,val,48,persistence,P50-90
0.44935843348503113,0.5729390978813171,-0.21570052206516266,-0.5442365407943726,15402047,swh,val,48,climatology,P50-90
1.7775254249572754,2.0372822284698486,-1.3991862535476685,-9.413228988647461,3449500,swh,val,48,persistence,P90-99
1.965013027191162,2.0717058181762695,-1.965013027191162,-9.76821231842041,3449543,swh,val,48,climatology,P90-99
4.049405574798584,4.3466339111328125,-3.9992289543151855,-17.917612075805664,373183,swh,val,48,persistence,P99+
4.554236888885498,4.6632399559021,-4.554236888885498,-20.773876190185547,373183,swh,val,48,climatology,P99+
0.043166663497686386,0.07612338662147522,-5.8134631331085984e-08,0.9951500296592712,48584860,swh,test,1,persistence,all
0.7289754748344421,0.9939960837364197,0.04671112447977066,0.17306369543075562,48585043,swh,test,1,climatology,all
0.020434213802218437,0.03209354728460312,0.0010569284204393625,0.9902195334434509,24292725,swh,test,1,persistence,P0-50
0.6781952381134033,0.7713150978088379,0.6509671211242676,-4.649097919464111,24292895,swh,test,1,climatology,P0-50
0.051960453391075134,0.07570745050907135,0.00033604289637878537,0.9726996421813965,19433677,swh,test,1,persistence,P50-90
0.4370112121105194,0.5526487827301025,-0.15926851332187653,-0.454754114151001,19433687,swh,test,1,climatology,P50-90
0.11226359754800797,0.15450802445411682,-0.004820139613002539,0.9379416704177856,4372596,swh,test,1,persistence,P90-99
1.9008677005767822,2.0102357864379883,-1.9008677005767822,-9.50490951538086,4372599,swh,test,1,climatology,P90-99
0.2061852216720581,0.28958645462989807,-0.02291293442249298,0.920219361782074,485862,swh,test,1,persistence,P99+
4.399411678314209,4.524371147155762,-4.399411678314209,-18.47410011291504,485862,swh,test,1,climatology,P99+
0.12173668295145035,0.21024808287620544,-2.6111672468687175e-06,0.9630032777786255,48582276,swh,test,3,persistence,all
0.7289838790893555,0.9940076470375061,0.04672834649682045,0.1730549931526184,48582825,swh,test,3,climatology,all
0.05628158897161484,0.0839836373925209,0.007664061617106199,0.9330209493637085,24292034,swh,test,3,persistence,P0-50
0.6782001256942749,0.7713192701339722,0.6509734988212585,-4.649250030517578,24292526,swh,test,3,climatology,P0-50
0.14599592983722687,0.20425492525100708,0.003195554716512561,0.8012840747833252,19432087,swh,test,3,persistence,P50-90
0.43701204657554626,0.5526521801948547,-0.15926037728786469,-0.45476019382476807,19432130,swh,test,3,climatology,P50-90
0.3232622444629669,0.4340786635875702,-0.03660513460636139,0.510198175907135,4372293,swh,test,3,persistence,P90-99
1.9009003639221191,2.010268211364746,-1.9009003639221191,-9.504898071289062,4372307,swh,test,3,climatology,P90-99
0.6105605959892273,0.8385615944862366,-0.1818426549434662,0.3310234546661377,485862,swh,test,3,persistence,P99+
4.399411678314209,4.524371147155762,-4.399411678314209,-18.47410011291504,485862,swh,test,3,climatology,P99+
0.22399656474590302,0.37920138239860535,-1.3639939425047487e-05,0.8796541094779968,48578400,swh,test,6,persistence,all
0.728999137878418,0.9940272569656372,0.04675175994634628,0.17304062843322754,48579498,swh,test,6,climatology,all
0.10239933431148529,0.14965581893920898,0.024502331390976906,0.7872987985610962,24290979,swh,test,6,persistence,P0-50
0.6782079339027405,0.7713260650634766,0.6509836316108704,-4.649499416351318,24291938,swh,test,6,climatology,P0-50
0.26751065254211426,0.3638111352920532,0.011587241664528847,0.3695729970932007,19429672,swh,test,6,persistence,P50-90
0.43701595067977905,0.5526599884033203,-0.15924903750419617,-0.45478641986846924,19429781,swh,test,6,climatology,P50-90
0.6009737849235535,0.7866907715797424,-0.1211756244301796,-0.6086956262588501,4371887,swh,test,6,persistence,P90-99
